339 - MILANO NORD CADORNA|339-N00001
340 - MALPENSA AEROPORTO T2|340-N00265
342 - MALPENSA AEROPORTO T2|342-N00265
343 - MILANO NORD CADORNA|343-N00001
344 - MALPENSA AEROPORTO T2|344-N00265
345 - MILANO NORD CADORNA|345-N00001
346 - MALPENSA AEROPORTO T2|346-N00265
347 - MILANO NORD CADORNA|347-N00001
348 - MALPENSA AEROPORTO T2|348-N00265
349 - MILANO NORD CADORNA|349-N00001
350 - MALPENSA AEROPORTO T2|350-N00265
351 - MILANO NORD CADORNA|351-N00001
352 - MALPENSA AEROPORTO T2|352-N00265
353 - MILANO NORD CADORNA|353-N00001
354 - MALPENSA AEROPORTO T2|354-N00265
355 - MILANO NORD CADORNA|355-N00001
356 - MALPENSA AEROPORTO T2|356-N00265
357 - MILANO NORD CADORNA|357-N00001
358 - MALPENSA AEROPORTO T2|358-N00265
360 - MALPENSA AEROPORTO T2|360-N00265
361 - MILANO NORD CADORNA|361-N00001
362 - MALPENSA AEROPORTO T2|362-N00265
365 - MILANO NORD CADORNA|365-N00001
366 - MALPENSA AEROPORTO T2|366-N00265
367 - MILANO NORD CADORNA|367-N00001
368 - MALPENSA AEROPORTO T2|368-N00265
371 - MILANO NORD CADORNA|371-N00001
372 - MALPENSA AEROPORTO T2|372-N00265
374 - MALPENSA AEROPORTO T2|374-N00265
375 - MILANO NORD CADORNA|375-N00001
377 - MILANO NORD CADORNA|377-N00001
378 - MALPENSA AEROPORTO T2|378-N00265
379 - MILANO NORD CADORNA|379-N00001
380 - MALPENSA AEROPORTO T2|380-N00265
382 - MALPENSA AEROPORTO T2|382-N00265
383 - MILANO NORD CADORNA|383-N00001
384 - MALPENSA AEROPORTO T2|384-N00265
385 - MILANO NORD CADORNA|385-N00001
386 - MALPENSA AEROPORTO T2|386-N00265
387 - MILANO NORD CADORNA|387-N00001
388 - MALPENSA AEROPORTO T2|388-N00265
389 - MILANO NORD CADORNA|389-N00001
390 - MALPENSA AEROPORTO T2|390-N00265
391 - MILANO NORD CADORNA|391-N00001
392 - MALPENSA AEROPORTO T2|392-N00265
393 - MILANO NORD CADORNA|393-N00001
394 - MALPENSA AEROPORTO T2|394-N00265
395 - MILANO NORD CADORNA|395-N00001
500 - GENOVA BRIGNOLE|500-S04702
501 - SESTRI LEVANTE|501-S04725
503 - TORINO PORTA NUOVA|503-S00219
504 - GENOVA P. PRINCIPE|504-S04700
505 - VENTIMIGLIA|505-S04501
508 - MILANO CENTRALE|508-S01700
509 - TORINO PORTA NUOVA|509-S00219
510 - SALERNO|510-S09818
511 - TORINO PORTA NUOVA|511-S00219
518 - ROMA TERMINI|518-S08409
519 - TORINO PORTA NUOVA|519-S00219
522 - NAPOLI CENTRALE|522-S09218
531 - PERUGIA|531-S07004
533 - ANCONA|533-S07113
534 - ROMA TERMINI|534-S08409
540 - ROMA TERMINI|540-S08409
541 - ANCONA|541-S07113
546 - ROMA TERMINI|546-S08409
561 - ROMA TERMINI|561-S08409
562 - REGGIO DI CALABRIA CENTRALE|562-S11781
564 - REGGIO DI CALABRIA CENTRALE|564-S11781
567 - CATANZARO LIDO|567-S11833
580 - TERNI|580-S07226
581 - FIRENZE S. M. NOVELLA|581-S06421
582 - SALERNO|582-S09818
583 - MILANO CENTRALE|583-S01700
584 - TRIESTE CENTRALE|584-S03317
584 - VENEZIA MESTRE|584-S03317
588 - ROMA TERMINI|588-S08409
588 - VENEZIA MESTRE|588-S08409
590 - NAPOLI CENTRALE|590-S09218
591 - ROMA TERMINI|591-S08409
592 - ROMA TERMINI|592-S08409
592 - VENEZIA MESTRE|592-S08409
594 - TRIESTE CENTRALE|594-S03317
594 - VENEZIA MESTRE|594-S03317
596 - NAPOLI CENTRALE|596-S09218
597 - MILANO CENTRALE|597-S01700
598 - ROMA TERMINI|598-S08409
599 - MILANO CENTRALE|599-S01700
603 - BOLOGNA CENTRALE|603-S05043
604 - PESCARA CENTRALE|604-S07810
605 - MILANO CENTRALE|605-S01700
606 - BARI CENTRALE|606-S11119
607 - BOLOGNA CENTRALE|607-S05043
608 - LECCE|608-S11145
609 - BOLOGNA CENTRALE|609-S05043
610 - LECCE|610-S11145
611 - BOLOGNA CENTRALE|611-S05043
612 - TARANTO|612-S11465
612 - ASSO|612-N00079
613 - MILANO CENTRALE|613-S01700
614 - BARI CENTRALE|614-S11119
618 - ASSO|618-N00079
621 - MILANO NORD CADORNA|621-N00001
624 - ASSO|624-N00079
625 - MILANO NORD CADORNA|625-N00001
628 - ASSO|628-N00079
631 - MILANO NORD CADORNA|631-N00001
632 - ASSO|632-N00079
635 - MILANO NORD CADORNA|635-N00001
636 - ASSO|636-N00079
637 - MILANO NORD CADORNA|637-N00001
640 - ASSO|640-N00079
643 - MILANO NORD CADORNA|643-N00001
644 - ASSO|644-N00079
647 - MILANO NORD CADORNA|647-N00001
648 - ASSO|648-N00079
651 - MILANO CENTRALE|651-S01700
651 - MILANO NORD CADORNA|651-N00001
652 - LA SPEZIA CENTRALE|652-S06000
652 - ASSO|652-N00079
655 - VENTIMIGLIA|655-S04501
655 - GENOVA P. PRINCIPE|655-S04501
656 - ASSO|656-N00079
657 - MILANO CENTRALE|657-S01700
657 - MILANO NORD CADORNA|657-N00001
658 - LIVORNO CENTRALE|658-S06725
659 - MILANO CENTRALE|659-S01700
659 - GENOVA P. PRINCIPE|659-S01700
662 - LIVORNO CENTRALE|662-S06725
662 - ASSO|662-N00079
663 - MILANO NORD CADORNA|663-N00001
665 - MILANO CENTRALE|665-S01700
666 - LA SPEZIA CENTRALE|666-S06000
668 - ASSO|668-N00079
669 - MILANO CENTRALE|669-S01700
669 - MILANO NORD CADORNA|669-N00001
670 - LIVORNO CENTRALE|670-S06725
672 - ASSO|672-N00079
673 - MILANO CENTRALE|673-S01700
674 - LIVORNO CENTRALE|674-S06725
675 - MILANO CENTRALE|675-S01700
675 - GENOVA P. PRINCIPE|675-S01700
677 - MILANO NORD CADORNA|677-N00001
678 - ASSO|678-N00079
679 - MILANO CENTRALE|679-S01700
680 - LA SPEZIA CENTRALE|680-S06000
680 - ASSO|680-N00079
681 - VENTIMIGLIA|681-S04501
681 - MILANO NORD CADORNA|681-N00001
681 - GENOVA P. PRINCIPE|681-S04501
684 - GROSSETO|684-S06039
685 - MILANO CENTRALE|685-S01700
685 - MILANO NORD CADORNA|685-N00001
687 - MILANO CENTRALE|687-S01700
689 - MILANO CENTRALE|689-S01700
689 - GENOVA P. PRINCIPE|689-S01700
700 - TARANTO|700-S11465
701 - ROMA TERMINI|701-S08409
702 - TARANTO|702-S11465
703 - ROMA TERMINI|703-S08409
704 - BARI CENTRALE|704-S11119
707 - ROMA TERMINI|707-S08409
711 - MILANO NORD CADORNA|711-N00001
712 - CAMNAGO LENTATE|712-N00085
715 - MILANO NORD CADORNA|715-N00001
716 - CAMNAGO LENTATE|716-N00085
717 - MILANO NORD CADORNA|717-N00001
719 - MILANO NORD CADORNA|719-N00001
721 - MESSINA CENTRALE|721-S12301
